Title,Author,Publisher,Week on besteller list,,,,,,,,,,,,,,,,,,,,,,,,,
A SUDDEN LIGHT, by Garth Stein, Simon & Schuster,10/19/14,,,,,,,,,,,,,,,,,,,,,,,,,
STATION ELEVEN, by Emily St John Mandel, Knopf,10/19/14,,,,,,,,,,,,,,,,,,,,,,,,,
WOLF IN WHITE VAN, by John Darnielle, Farrar Straus & Giroux,10/19/14,,,,,,,,,,,,,,,,,,,,,,,,,
DEADLINE, by John Sandford, Putnam,10/26/14,,,,,,,,,,,,,,,,,,,,,,,,,
BURN, by James Patterson and Michael Ledwidge, Little Brown,10/26/14,,,,,,,,,,,,,,,,,,,,,,,,,
EDGE OF ETERNITY, by Ken Follett, Dutton,10/26/14,,,,,,,,,,,,,,,,,,,,,,,,,
LILA, by Marilynne Robinson, Farrar Straus & Giroux,10/26/14,,,,,,,,,,,,,,,,,,,,,,,,,
SOMEWHERE SAFE WITH SOMEBODY GOOD, by Jan Karon, Putnam,10/26/14,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONAL, by Lee Child, Delacorte,10/26/14,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr, Scribner,10/26/14,,,,,,,,,,,,,,,,,,,,,,,,,
SOME LUCK, by Jane Smiley, Knopf,10/26/14,,,,,,,,,,,,,,,,,,,,,,,,,
PARIS MATCH, by Stuart Woods, Putnam,10/26/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE CHILDREN ACT, by Ian McEwan, Nan A Talese/ Doubleday,10/26/14,,,,,,,,,,,,,,,,,,,,,,,,,
BIG LITTLE LIES, by Liane Moriarty, Amy Einhorn/Putnam,10/26/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE GOLDFINCH, by Donna Tartt, Little Brown,10/26/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE PAYING GUESTS, by Sarah Waters, Riverhead,10/26/14,,,,,,,,,,,,,,,,,,,,,,,,,
NORA WEBSTER, by Colm Toibin, Scribner,10/26/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE ASSASSINATION OF MARGARET THATCHER, by Hilary Mantel, Macrae/Holt,10/26/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE SECRET PLACE, by Tana French, Viking,10/26/14,,,,,,,,,,,,,,,,,,,,,,,,,
LEAVING TIME, by Jodi Picoult, Ballantine,11/2/14,,,,,,,,,,,,,,,,,,,,,,,,,
DEADLINE, by John Sandford, Putnam,11/2/14,,,,,,,,,,,,,,,,,,,,,,,,,
EDGE OF ETERNITY, by Ken Follett, Dutton,11/2/14,,,,,,,,,,,,,,,,,,,,,,,,,
BURN, by James Patterson and Michael Ledwidge, Little Brown,11/2/14,,,,,,,,,,,,,,,,,,,,,,,,,
SOMEWHERE SAFE WITH SOMEBODY GOOD, by Jan Karon, Putnam,11/2/14,,,,,,,,,,,,,,,,,,,,,,,,,
LILA, by Marilynne Robinson, Farrar Straus & Giroux,11/2/14,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr, Scribner,11/2/14,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONAL, by Lee Child, Delacorte,11/2/14,,,,,,,,,,,,,,,,,,,,,,,,,
SOME LUCK, by Jane Smiley, Knopf,11/2/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE NARROW ROAD TO THE DEEP NORTH, by Richard Flanagan, Knopf,11/2/14,,,,,,,,,,,,,,,,,,,,,,,,,
WINTER STREET, by Elin Hilderbrand, Little Brown,11/2/14,,,,,,,,,,,,,,,,,,,,,,,,,
MR MIRACLE, by Debbie Macomber, Ballantine,11/2/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE GOLDFINCH, by Donna Tartt, Little Brown,11/2/14,,,,,,,,,,,,,,,,,,,,,,,,,
NORA WEBSTER, by Colm Toibin, Scribner,11/2/14,,,,,,,,,,,,,,,,,,,,,,,,,
BLUE HORSES, by Mary Oliver, Penguin Press,11/2/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE PAYING GUESTS, by Sarah Waters, Riverhead,11/2/14,,,,,,,,,,,,,,,,,,,,,,,,,
GRAY MOUNTAIN, by John Grisham, Doubleday,11/9/14,,,,,,,,,,,,,,,,,,,,,,,,,
LEAVING TIME, by Jodi Picoult, Ballantine,11/9/14,,,,,,,,,,,,,,,,,,,,,,,,,
EDGE OF ETERNITY, by Ken Follett, Dutton,11/9/14,,,,,,,,,,,,,,,,,,,,,,,,,
DEADLINE, by John Sandford, Putnam,11/9/14,,,,,,,,,,,,,,,,,,,,,,,,,
BEAUTIFUL YOU, by Chuck Palahniuk, Doubleday,11/9/14,,,,,,,,,,,,,,,,,,,,,,,,,
DESERT GOD, by Wilbur Smith, Morrow/HarperCollins,11/9/14,,,,,,,,,,,,,,,,,,,,,,,,,
LILA, by Marilynne Robinson, Farrar Straus & Giroux,11/9/14,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr, Scribner,11/9/14,,,,,,,,,,,,,,,,,,,,,,,,,
BURN, by James Patterson and Michael Ledwidge, Little Brown,11/9/14,,,,,,,,,,,,,,,,,,,,,,,,,
SOMEWHERE SAFE WITH SOMEBODY GOOD, by Jan Karon, Putnam,11/9/14,,,,,,,,,,,,,,,,,,,,,,,,,
SHOPAHOLIC TO THE STARS, by Sophie Kinsella, Dial,11/9/14,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONAL, by Lee Child, Delacorte,11/9/14,,,,,,,,,,,,,,,,,,,,,,,,,
SOME LUCK, by Jane Smiley, Knopf,11/9/14,,,,,,,,,,,,,,,,,,,,,,,,,
WAIT FOR SIGNS, by Craig Johnson, Viking,11/9/14,,,,,,,,,,,,,,,,,,,,,,,,,
WINTER STREET, by Elin Hilderbrand, Little Brown,11/9/14,,,,,,,,,,,,,,,,,,,,,,,,,
GRAY MOUNTAIN, by John Grisham, Doubleday,11/16/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE SLOW REGARD OF SILENT THINGS, by Patrick Rothfuss, DAW,11/16/14,,,,,,,,,,,,,,,,,,,,,,,,,
PRINCE LESTAT, by Anne Rice, Knopf,11/16/14,,,,,,,,,,,,,,,,,,,,,,,,,
HAVANA STORM, by Clive Cussler and Dirk Cussler, Putnam,11/16/14,,,,,,,,,,,,,,,,,,,,,,,,,
LEAVING TIME, by Jodi Picoult, Ballantine,11/16/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE HANDSOME MAN'S DE LUXE CAFí_, by Alexander McCall Smith, Pantheon,11/16/14,,,,,,,,,,,,,,,,,,,,,,,,,
PEGASUS, by Danielle Steel, Delacorte,11/16/14,,,,,,,,,,,,,,,,,,,,,,,,,
EDGE OF ETERNITY, by Ken Follett, Dutton,11/16/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE PERIPHERAL, by William Gibson, Putnam,11/16/14,,,,,,,,,,,,,,,,,,,,,,,,,
DEADLINE, by John Sandford, Putnam,11/16/14,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr, Scribner,11/16/14,,,,,,,,,,,,,,,,,,,,,,,,,
LILA, by Marilynne Robinson, Farrar Straus & Giroux,11/16/14,,,,,,,,,,,,,,,,,,,,,,,,,
BURN, by James Patterson and Michael Ledwidge, Little Brown,11/16/14,,,,,,,,,,,,,,,,,,,,,,,,,
SOMEWHERE SAFE WITH SOMEBODY GOOD, by Jan Karon, Putnam,11/16/14,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONAL, by Lee Child, Delacorte,11/16/14,,,,,,,,,,,,,,,,,,,,,,,,,
BEAUTIFUL YOU, by Chuck Palahniuk, Doubleday,11/16/14,,,,,,,,,,,,,,,,,,,,,,,,,
GRAY MOUNTAIN, by John Grisham, Doubleday,11/23/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE BURNING ROOM, by Michael Connelly, Little Brown,11/23/14,,,,,,,,,,,,,,,,,,,,,,,,,
PRINCE LESTAT, by Anne Rice, Knopf,11/23/14,,,,,,,,,,,,,,,,,,,,,,,,,
LEAVING TIME, by Jodi Picoult, Ballantine,11/23/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE SLOW REGARD OF SILENT THINGS, by Patrick Rothfuss, DAW,11/23/14,,,,,,,,,,,,,,,,,,,,,,,,,
EDGE OF ETERNITY, by Ken Follett, Dutton,11/23/14,,,,,,,,,,,,,,,,,,,,,,,,,
HAVANA STORM, by Clive Cussler and Dirk Cussler, Putnam,11/23/14,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr, Scribner,11/23/14,,,,,,,,,,,,,,,,,,,,,,,,,
LILA, by Marilynne Robinson, Farrar Straus & Giroux,11/23/14,,,,,,,,,,,,,,,,,,,,,,,,,
DEADLINE, by John Sandford, Putnam,11/23/14,,,,,,,,,,,,,,,,,,,,,,,,,
PEGASUS, by Danielle Steel, Delacorte,11/23/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE HANDSOME MAN'S DE LUXE CAFí_, by Alexander McCall Smith, Pantheon,11/23/14,,,,,,,,,,,,,,,,,,,,,,,,,
SOMEWHERE SAFE WITH SOMEBODY GOOD, by Jan Karon, Putnam,11/23/14,,,,,,,,,,,,,,,,,,,,,,,,,
LET ME BE FRANK WITH YOU, by Richard Ford, Ecco/HarperCollins,11/23/14,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONAL, by Lee Child, Delacorte,11/23/14,,,,,,,,,,,,,,,,,,,,,,,,,
SOME LUCK, by Jane Smiley, Knopf,11/23/14,,,,,,,,,,,,,,,,,,,,,,,,,
REVIVAL, by Stephen King, Scribner,11/30/14,,,,,,,,,,,,,,,,,,,,,,,,,
GRAY MOUNTAIN, by John Grisham, Doubleday,11/30/14,,,,,,,,,,,,,,,,,,,,,,,,,
FLESH AND BLOOD, by Patricia Cornwell, Morrow/HarperCollins,11/30/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE BURNING ROOM, by Michael Connelly, Little Brown,11/30/14,,,,,,,,,,,,,,,,,,,,,,,,,
BLUE L,ABYRINTH, by Douglas Preston and Lincoln Child,11/30/14,,,,,,,,,,,,,,,,,,,,,,,,,
PRINCE LESTAT, by Anne Rice, Knopf,11/30/14,,,,,,,,,,,,,,,,,,,,,,,,,
LEAVING TIME, by Jodi Picoult, Ballantine,11/30/14,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr, Scribner,11/30/14,,,,,,,,,,,,,,,,,,,,,,,,,
EDGE OF ETERNITY, by Ken Follett, Dutton,11/30/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE SLOW REGARD OF SILENT THINGS, by Patrick Rothfuss, DAW,11/30/14,,,,,,,,,,,,,,,,,,,,,,,,,
HAVANA STORM, by Clive Cussler and Dirk Cussler, Putnam,11/30/14,,,,,,,,,,,,,,,,,,,,,,,,,
LILA, by Marilynne Robinson, Farrar Straus & Giroux,11/30/14,,,,,,,,,,,,,,,,,,,,,,,,,
SOMEWHERE SAFE WITH SOMEBODY GOOD, by Jan Karon, Putnam,11/30/14,,,,,,,,,,,,,,,,,,,,,,,,,
DEADLINE, by John Sandford, Putnam,11/30/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE HANDSOME MAN'S DE LUXE CAFí_, by Alexander McCall Smith, Pantheon,11/30/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE ESCAPE, by David Baldacci, Grand Central,12/7/14,,,,,,,,,,,,,,,,,,,,,,,,,
REVIVAL, by Stephen King, Scribner,12/7/14,,,,,,,,,,,,,,,,,,,,,,,,,
GRAY MOUNTAIN, by John Grisham, Doubleday,12/7/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE MISTLETOE PROMISE, by Richard Paul Evans, Simon & Schuster,12/7/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE BURNING ROOM, by Michael Connelly, Little Brown,12/7/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE CINDERELLA MURDER, by Mary Higgins Clark and Alafair Burke, Simon & Schuster,12/7/14,,,,,,,,,,,,,,,,,,,,,,,,,
FLESH AND BLOOD, by Patricia Cornwell, Morrow/HarperCollins,12/7/14,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr, Scribner,12/7/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE JOB, by Janet Evanovich and Lee Goldberg, Bantam,12/7/14,,,,,,,,,,,,,,,,,,,,,,,,,
PRINCE LESTAT, by Anne Rice, Knopf,12/7/14,,,,,,,,,,,,,,,,,,,,,,,,,
LEAVING TIME, by Jodi Picoult, Ballantine,12/7/14,,,,,,,,,,,,,,,,,,,,,,,,,
EDGE OF ETERNITY, by Ken Follett, Dutton,12/7/14,,,,,,,,,,,,,,,,,,,,,,,,,
BLUE L,ABYRINTH, by Douglas Preston and Lincoln Child,12/7/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE SLOW REGARD OF SILENT THINGS, by Patrick Rothfuss, DAW,12/7/14,,,,,,,,,,,,,,,,,,,,,,,,,
LILA, by Marilynne Robinson, Farrar Straus & Giroux,12/7/14,,,,,,,,,,,,,,,,,,,,,,,,,
SOMEWHERE SAFE WITH SOMEBODY GOOD, by Jan Karon, Putnam,12/7/14,,,,,,,,,,,,,,,,,,,,,,,,,
HOPE TO DIE, by James Patterson, Little Brown,12/14/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE ESCAPE, by David Baldacci, Grand Central,12/14/14,,,,,,,,,,,,,,,,,,,,,,,,,
GRAY MOUNTAIN, by John Grisham, Doubleday,12/14/14,,,,,,,,,,,,,,,,,,,,,,,,,
REVIVAL, by Stephen King, Scribner,12/14/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE BURNING ROOM, by Michael Connelly, Little Brown,12/14/14,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr, Scribner,12/14/14,,,,,,,,,,,,,,,,,,,,,,,,,
PRINCE LESTAT, by Anne Rice, Knopf,12/14/14,,,,,,,,,,,,,,,,,,,,,,,,,
LEAVING TIME, by Jodi Picoult, Ballantine,12/14/14,,,,,,,,,,,,,,,,,,,,,,,,,
FLESH AND BLOOD, by Patricia Cornwell, Morrow/HarperCollins,12/14/14,,,,,,,,,,,,,,,,,,,,,,,,,
BLUE L,ABYRINTH, by Douglas Preston and Lincoln Child,12/14/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE CINDERELLA MURDER, by Mary Higgins Clark and Alafair Burke, Simon & Schuster,12/14/14,,,,,,,,,,,,,,,,,,,,,,,,,
BETRAYED, by Lisa Scottoline, St Martin's,12/14/14,,,,,,,,,,,,,,,,,,,,,,,,,
EDGE OF ETERNITY, by Ken Follett, Dutton,12/14/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE MISTLETOE PROMISE, by Richard Paul Evans, Simon & Schuster,12/14/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE GOLDFINCH, by Donna Tartt, Little Brown,12/14/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE JOB, by Janet Evanovich and Lee Goldberg, Bantam,12/14/14,,,,,,,,,,,,,,,,,,,,,,,,,
HOPE TO DIE, by James Patterson, Little Brown,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,,
GRAY MOUNTAIN, by John Grisham, Doubleday,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE ESCAPE, by David Baldacci, Grand Central,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,,
REVIVAL, by Stephen King, Scribner,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,,
TOM CLANCY: FULL FORCE AND EFFECT, by Mark Greaney, Putnam,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr, Scribner,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE BURNING ROOM, by Michael Connelly, Little Brown,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,,
LEAVING TIME, by Jodi Picoult, Ballantine,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,,
FLESH AND BLOOD, by Patricia Cornwell, Morrow/HarperCollins,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,,
EDGE OF ETERNITY, by Ken Follett, Dutton,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,,
PRINCE LESTAT, by Anne Rice, Knopf,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE MISTLETOE PROMISE, by Richard Paul Evans, Simon & Schuster,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE CINDERELLA MURDER, by Mary Higgins Clark and Alafair Burke, Simon & Schuster,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,,
SOMEWHERE SAFE WITH SOMEBODY GOOD, by Jan Karon, Putnam,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,,
BLUE LABYRINTH, by Douglas Preston and Lincoln Child, Grand Central,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE GOLDFINCH, by Donna Tartt, Little Brown,12/21/14,,,,,,,,,,,,,,,,,,,,,,,,,
GRAY MOUNTAIN, by John Grisham, Doubleday,12/28/14,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr, Scribner,12/28/14,,,,,,,,,,,,,,,,,,,,,,,,,
REVIVAL, by Stephen King, Scribner,12/28/14,,,,,,,,,,,,,,,,,,,,,,,,,
HOPE TO DIE, by James Patterson, Little Brown,12/28/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE ESCAPE, by David Baldacci, Grand Central,12/28/14,,,,,,,,,,,,,,,,,,,,,,,,,
TOM CLANCY: FULL FORCE AND EFFECT, by Mark Greaney, Putnam,12/28/14,,,,,,,,,,,,,,,,,,,,,,,,,
LEAVING TIME, by Jodi Picoult, Ballantine,12/28/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE BURNING ROOM, by Michael Connelly, Little Brown,12/28/14,,,,,,,,,,,,,,,,,,,,,,,,,
EDGE OF ETERNITY, by Ken Follett, Dutton,12/28/14,,,,,,,,,,,,,,,,,,,,,,,,,
FLESH AND BLOOD, by Patricia Cornwell, Morrow/HarperCollins,12/28/14,,,,,,,,,,,,,,,,,,,,,,,,,
PRINCE LESTAT, by Anne Rice, Knopf,12/28/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE BOSTON GIRL, by Anita Diamant, Scribner,12/28/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE GOLDFINCH, by Donna Tartt, Little Brown,12/28/14,,,,,,,,,,,,,,,,,,,,,,,,,
SOMEWHERE SAFE WITH SOMEBODY GOOD, by Jan Karon, Putnam,12/28/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE MISTLETOE PROMISE, by Richard Paul Evans, Simon & Schuster,12/28/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE CINDERELLA MURDER, by Mary Higgins Clark and Alafair Burke, Simon & Schuster,12/28/14,,,,,,,,,,,,,,,,,,,,,,,,,
GRAY MOUNTAIN, by John Grisham, Doubleday,1/4/15,,,,,,,,,,,,,,,,,,,,,,,,,
REVIVAL, by Stephen King, Scribner,1/4/15,,,,,,,,,,,,,,,,,,,,,,,,,
HOPE TO DIE, by James Patterson, Little Brown,1/4/15,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr, Scribner,1/4/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE ESCAPE, by David Baldacci, Grand Central,1/4/15,,,,,,,,,,,,,,,,,,,,,,,,,
TOM CLANCY: FULL FORCE AND EFFECT, by Mark Greaney, Putnam,1/4/15,,,,,,,,,,,,,,,,,,,,,,,,,
LEAVING TIME, by Jodi Picoult, Ballantine,1/4/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE BURNING ROOM, by Michael Connelly, Little Brown,1/4/15,,,,,,,,,,,,,,,,,,,,,,,,,
REDEPLOYMENT, by Phil Klay, Penguin Press,1/4/15,,,,,,,,,,,,,,,,,,,,,,,,,
EDGE OF ETERNITY, by Ken Follett, Dutton,1/4/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE GOLDFINCH, by Donna Tartt, Little Brown,1/4/15,,,,,,,,,,,,,,,,,,,,,,,,,
FLESH AND BLOOD, by Patricia Cornwell, Morrow/HarperCollins,1/4/15,,,,,,,,,,,,,,,,,,,,,,,,,
PRINCE LESTAT, by Anne Rice, Knopf,1/4/15,,,,,,,,,,,,,,,,,,,,,,,,,
STATION ELEVEN, by Emily St John Mandel, Knopf,1/4/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE BOSTON GIRL, by Anita Diamant, Scribner,1/4/15,,,,,,,,,,,,,,,,,,,,,,,,,
SOMEWHERE SAFE WITH SOMEBODY GOOD, by Jan Karon, Putnam,1/4/15,,,,,,,,,,,,,,,,,,,,,,,,,
GRAY MOUNTAIN, by John Grisham, Doubleday,1/11/15,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr, Scribner,1/11/15,,,,,,,,,,,,,,,,,,,,,,,,,
HOPE TO DIE, by James Patterson, Little Brown,1/11/15,,,,,,,,,,,,,,,,,,,,,,,,,
REVIVAL, by Stephen King, Scribner,1/11/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE ESCAPE, by David Baldacci, Grand Central,1/11/15,,,,,,,,,,,,,,,,,,,,,,,,,
TOM CLANCY: FULL FORCE AND EFFECT, by Mark Greaney, Putnam,1/11/15,,,,,,,,,,,,,,,,,,,,,,,,,
LEAVING TIME, by Jodi Picoult, Ballantine,1/11/15,,,,,,,,,,,,,,,,,,,,,,,,,
REDEPLOYMENT, by Phil Klay, Penguin Press,1/11/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE BURNING ROOM, by Michael Connelly, Little Brown,1/11/15,,,,,,,,,,,,,,,,,,,,,,,,,
FLESH AND BLOOD, by Patricia Cornwell, Morrow/HarperCollins,1/11/15,,,,,,,,,,,,,,,,,,,,,,,,,
PRINCE LESTAT, by Anne Rice, Knopf,1/11/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE GOLDFINCH, by Donna Tartt, Little Brown,1/11/15,,,,,,,,,,,,,,,,,,,,,,,,,
EDGE OF ETERNITY, by Ken Follett, Dutton,1/11/15,,,,,,,,,,,,,,,,,,,,,,,,,
STATION ELEVEN, by Emily St John Mandel, Knopf,1/11/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE BOSTON GIRL, by Anita Diamant, Scribner,1/11/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE BONE CLOCKS, by David Mitchell, Random House,1/11/15,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr, Scribner,1/18/15,,,,,,,,,,,,,,,,,,,,,,,,,
GRAY MOUNTAIN, by John Grisham, Doubleday,1/18/15,,,,,,,,,,,,,,,,,,,,,,,,,
HOPE TO DIE, by James Patterson, Little Brown,1/18/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE ESCAPE, by David Baldacci, Grand Central,1/18/15,,,,,,,,,,,,,,,,,,,,,,,,,
DIE AGAIN, by Tess Gerritsen, Ballantine,1/18/15,,,,,,,,,,,,,,,,,,,,,,,,,
REVIVAL, by Stephen King, Scribner,1/18/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE ASSASSINATION OPTION, by W E B Griffin and William E Butterworth IV, Putnam,1/18/15,,,,,,,,,,,,,,,,,,,,,,,,,
TOM CLANCY: FULL FORCE AND EFFECT, by Mark Greaney, Putnam,1/18/15,,,,,,,,,,,,,,,,,,,,,,,,,
RAIN ON THE DEAD, by Jack Higgins, Putnam,1/18/15,,,,,,,,,,,,,,,,,,,,,,,,,
LEAVING TIME, by Jodi Picoult, Ballantine,1/18/15,,,,,,,,,,,,,,,,,,,,,,,,,
NO FORTUNATE SON, by Brad Taylor, Dutton,1/18/15,,,,,,,,,,,,,,,,,,,,,,,,,
STATION ELEVEN, by Emily St John Mandel, Knopf,1/18/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE BURNING ROOM, by Michael Connelly, Little Brown,1/18/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE BOSTON GIRL, by Anita Diamant, Scribner,1/18/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE GOLDFINCH, by Donna Tartt, Little Brown,1/18/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE ROSIE EFFECT, by Graeme Simsion, Simon & Schuster,1/18/15,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr, Scribner,1/25/15,,,,,,,,,,,,,,,,,,,,,,,,,
GRAY MOUNTAIN, by John Grisham, Doubleday,1/25/15,,,,,,,,,,,,,,,,,,,,,,,,,
AS CHIMNEY SWEEPERS COME TO DUST, by Alan Bradley, Delacorte,1/25/15,,,,,,,,,,,,,,,,,,,,,,,,,
INSATIABLE APPETITES, by Stuart Woods, Putnam,1/25/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE EMPTY THRONE, by Bernard Cornwell, Harper,1/25/15,,,,,,,,,,,,,,,,,,,,,,,,,
GOLDEN SON, by Pierce Brown, Del Rey,1/25/15,,,,,,,,,,,,,,,,,,,,,,,,,
HOPE TO DIE, by James Patterson, Little Brown,1/25/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE ESCAPE, by David Baldacci, Grand Central,1/25/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE BOSTON GIRL, by Anita Diamant, Scribner,1/25/15,,,,,,,,,,,,,,,,,,,,,,,,,
REVIVAL, by Stephen King, Scribner,1/25/15,,,,,,,,,,,,,,,,,,,,,,,,,
BIG LITTLE LIES, by Liane Moriarty, Amy Einhorn/Putnam,1/25/15,,,,,,,,,,,,,,,,,,,,,,,,,
STATION ELEVEN, by Emily St John Mandel, Knopf,1/25/15,,,,,,,,,,,,,,,,,,,,,,,,,
TRUST NO ONE, by Jayne Ann Krentz, Putnam,1/25/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE THIRD TARGET, by Joel C Rosenberg, Tyndale House,1/25/15,,,,,,,,,,,,,,,,,,,,,,,,,
REDEPLOYMENT, by Phil Klay, Penguin Press,1/25/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE GOLDFINCH, by Donna Tartt, Little Brown,1/25/15,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr, Scribner,2/1/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE GIRL ON THE TRAIN, by Paula Hawkins, Riverhead,2/1/15,,,,,,,,,,,,,,,,,,,,,,,,,
SAINT ODD, by Dean Koontz, Bantam,2/1/15,,,,,,,,,,,,,,,,,,,,,,,,,
GRAY MOUNTAIN, by John Grisham, Doubleday,2/1/15,,,,,,,,,,,,,,,,,,,,,,,,,
COLD COLD HEART, by Tami Hoag, Dutton,2/1/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE FIRST BAD MAN, by Miranda July, Scribner,2/1/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE ESCAPE, by David Baldacci, Grand Central,2/1/15,,,,,,,,,,,,,,,,,,,,,,,,,
HOPE TO DIE, by James Patterson, Little Brown,2/1/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE BOSTON GIRL, by Anita Diamant, Scribner,2/1/15,,,,,,,,,,,,,,,,,,,,,,,,,
