Title,Author,Publisher,Week on besteller list,,,,,,,,,,,,,,,,,,,,,,,,,
ACT OF WAR, by Brad Thor, Emily Bestler/Atria,8/10/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE SILKWORM, by Robert Galbraith, Mulholland/Little Brown,8/10/14,,,,,,,,,,,,,,,,,,,,,,,,,
INVISIBLE, by James Patterson and David Ellis, Little Brown,8/10/14,,,,,,,,,,,,,,,,,,,,,,,,,
REMAINS OF INNOCENCE, by J A Jance, Morrow/HarperCollins,8/10/14,,,,,,,,,,,,,,,,,,,,,,,,,
MR MERCEDES, by Stephen King, Scribner,8/10/14,,,,,,,,,,,,,,,,,,,,,,,,,
TOP SECRET TWENTY-ONE, by Janet Evanovich, Bantam,8/10/14,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr, Scribner,8/10/14,,,,,,,,,,,,,,,,,,,,,,,,,
WRITTEN IN MY OWN HEART'S BLOOD, by Diana Gabaldon, Delacorte,8/10/14,,,,,,,,,,,,,,,,,,,,,,,,,
WAYFARING STRANGER, by James Lee Burke, Simon & Schuster,8/10/14,,,,,,,,,,,,,,,,,,,,,,,,,
CUT AND THRUST, by Stuart Woods, Putnam,8/10/14,,,,,,,,,,,,,,,,,,,,,,,,,
CALIFORNIA, by Edan Lepucki, Little Brown,8/10/14,,,,,,,,,,,,,,,,,,,,,,,,,
BIG LITTLE LIES, by Liane Moriarty, Amy Einhorn/Putnam,8/17/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE HEIST, by Daniel Silva, Harper,8/17/14,,,,,,,,,,,,,,,,,,,,,,,,,
TOM CLANCY: SUPPORT AND DEFEND, by Mark Greaney, Putnam,8/17/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE BOOK OF LIFE, by Deborah Harkness, Viking,8/17/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE GOLDFINCH, by Donna Tartt, Little Brown,8/17/14,,,,,,,,,,,,,,,,,,,,,,,,,
FAST TRACK, by Julie Garwood, Dutton,8/17/14,,,,,,,,,,,,,,,,,,,,,,,,,
A PERFECT LIFE, by Danielle Steel, Delacorte,8/17/14,,,,,,,,,,,,,,,,,,,,,,,,,
ACT OF WAR, by Brad Thor, Emily Bestler/Atria,8/17/14,,,,,,,,,,,,,,,,,,,,,,,,,
